Year,Make,Model,Price,Mileage,Location,Additional,Fuel Type,Car Type,Scraping Time,Source,Car Build,MSRP,Retention Rate,Age,Fuel Type Adjusted
2019,Toyota,RAV4,43500,79778,WA,*Excl. Govt. Charges,Hybrid,2.5L SUV FWD Hybrid,1716605094,Drive,SUV,41990,1.035960943,5,Hybrid
2020,Toyota,Corolla,31900,31985,VIC,Drive Away,Hybrid,Hybrid 1.8L Sedan FWD Hybrid,1712977411,Drive,OTHER,30795,1.035882448,4,Hybrid
2023,Lexus,RX,101880,3429,NSW,Drive Away,Petrol,F Sport 2.4L SUV 4WD,1718429488,Drive,SUV,98370,1.03568161,1,Conventional
2023,Lexus,RX,101880,2987,QLD,Drive Away,Petrol,F Sport 2.4L SUV 4WD,1720826448,Drive,SUV,98370,1.03568161,1,Conventional
2023,Lexus,RX,101880,2734,QLD,Drive Away,Petrol,F Sport 2.4L SUV 4WD,1716605934,Drive,SUV,98370,1.03568161,1,Conventional
2023,Lexus,RX,101875,3429,NSW,Drive Away,Petrol,F Sport 2.4L SUV 4WD,1719026344,Drive,SUV,98370,1.035630782,1,Conventional
2023,Lexus,RX,101875,3520,NSW,Drive Away,Petrol,F Sport 2.4L SUV 4WD,1719026342,Drive,SUV,98370,1.035630782,1,Conventional
2020,Toyota,Camry,34990,62814,WA,*Excl. Govt. Charges,Hybrid,2.5L Sedan FWD Hybrid,1720826401,Drive,OTHER,33790,1.035513466,4,Hybrid
2020,Toyota,Camry,34990,45567,VIC,*Excl. Govt. Charges,Hybrid,2.5L Sedan FWD Hybrid,1720826160,Drive,OTHER,33790,1.035513466,4,Hybrid
2023,Lexus,RX,114475,6658,NSW,Drive Away,Hybrid,Sports Luxury 2.5L SUV 4WD Hybrid,1712976785,Drive,SUV,110575,1.035270179,1,Hybrid
2020,Toyota,Camry,34980,69128,WA,*Excl. Govt. Charges,Hybrid,2.5L Sedan FWD Hybrid,1718428310,Drive,OTHER,33790,1.03521752,4,Hybrid
2020,Toyota,Camry,34980,72706,WA,*Excl. Govt. Charges,Hybrid,2.5L Sedan FWD Hybrid,1716008038,Drive,OTHER,33790,1.03521752,4,Hybrid
